sn,product_id,system_version,min,max,avg
ABPZ0F4100147,321,V1.0.805,0,0,0
ABPZ0EC100096,401,V1.0.634,630952,4310018,1969838
ABPZ0EC100065,321,V1.0.706,15439,197732,95529
ABPZ0EC100181,401,V1.0.772,0,0,0
ABPZ0EC100061,321,V1.0.830,1458,84752,27872
ABPZ0EC100020,401,V1.0.772,470189,3662108,1759424
ABPZ0EC100105,321,V1.0.729,124781,788017,502343
ABPZ0EC100087,321,V1.0.772,0,736,30
ABPZ0EC100158,401,V1.0.735,744114,4694742,2304912
ABPZ0EC100107,321,V1.0.735,34976,560537,305843
ABPZ0EC100128,321,V1.0.772,154050,1527760,875750
ABPZ0EC100009,401,V1.0.772,583987,1531809,1036926
ABPZ0EC100177,401,V1.0.634,750303,4141645,1940397
ABPZ0EC100173,321,V1.0.772,122837,638605,394546
ABPZ0EC100025,401,V1.0.772,248675,1198366,765869
ABPZ0EC100081,321,V1.0.735,101134,964105,480081
ABPZ0EC100112,401,V1.0.586,674248,1435164,1130207
ABPZ0EC100167,321,V1.0.772,23771,121534,74039
ABPZ0EC100226,321,V1.0.772,72688,405618,309489
ABPZ0EC100063,321,V1.0.772,44803,410811,197923
ABPZ0EC100022,321,V1.0.583,16479,126996,37778
ABPZ0EC100104,401,V1.0.772,65247,1441191,705407
ABTC0EC100016,401,V1.0.772,657671,3252461,1631311
ABPZ0F4101490,321,V1.0.805,410,49222,20795
ABPZ0EC100130,321,V1.0.772,297504,1092622,687412
ABPZ0EC100138,321,V1.0.772,209675,1139534,648360
ABPZ0F4100491,321,V1.0.805,3007,95611,36549
ABPZ0F4101929,321,V1.0.872,8499,45254,9114
ABPZ0EC100018,321,V1.0.772,0,20504,3608
ABPZ0EC100136,401,V1.0.735,827273,4591374,2530007
ABPZ0EC100219,401,V1.0.772,690388,1943825,1366668
ABPZ0EC100049,321,V1.0.772,6092,35189,16091
ABPZ0EC100056,321,V1.0.772,3828,61419,19300
ABPZ0EC100117,401,V1.0.735,279140,1772506,1082883
ABPZ0EC100023,321,V1.0.772,55821,535395,258087
ABPZ0EC100100,401,V1.0.772,910290,2815680,1614388
ABPZ0EC100207,321,V1.0.735,21908,245089,130381
ABPZ0EC100046,321,V1.0.735,36366,209611,86613
ABPZ0EC100151,321,V1.0.772,56871,344836,213072
ABPZ0F4100476,321,V1.0.805,0,0,0
ABPZ0EC100211,321,V1.0.772,18410,351610,200469
ABPZ0EC100178,321,V1.0.772,22443,376233,180958
ABPZ0EC100149,401,V1.0.634,823222,5135194,2538076
ABPZ0EC100079,401,V1.0.735,670787,1411693,1164456
ABPZ0EC100026,321,V1.0.772,2187,208044,91328
ABPZ0F4100634,321,V1.0.805,455,455,227
ABPZ0F4101368,321,V1.0.805,8948,136130,31940
ABPZ0EC100208,321,V1.0.772,31022,580181,176780
ABPZ0EC100190,321,V1.0.772,6955,33402,21268
ABPZ0F4101909,321,V1.0.805,820,46460,31626
ABPZ0EC100170,321,V1.0.772,0,0,0
ABPZ0EC100144,401,V1.0.815,544378,2422825,1249080
ABPZ0EC100043,401,V1.0.634,653993,4397464,2014014
ABPZ0F4100665,321,V1.0.805,1731,86188,23651
ABPZ0F4101954,401,V1.0.805,397,36249,7604
ABTC0EC100015,401,V1.0.739,889638,5167420,2381126
ABPZ0EC100005,401,V1.0.772,834097,4415048,1876467
ABPZ0F4100936,321,V1.0.805,8922,780254,167846
ABPZ0EC100033,321,V1.0.772,193302,1526782,829464
ABPZ0EC100193,321,V1.0.634,343938,2043491,1346106
ABPZ0EC100001,321,V1.0.772,235,149462,58891
ABPZ0EC100021,321,V1.0.772,48036,378873,157721
ABPZ0F4100576,321,V1.0.805,7109,251220,90595
ABPZ0EC100039,321,V1.0.772,137039,916649,506876
ABPZ0EC100085,321,V1.0.772,284822,1291450,806828
ABPZ0EC100038,321,V1.0.772,46707,404718,229339
ABPZ0EC100047,321,V1.0.772,181670,1475501,735539
ABPZ0F4101989,321,V1.0.805,0,22147,2607
ABTC0EC100014,401,V1.0.634,28689,1510386,616448
ABPZ0EC100162,401,V1.0.735,1101719,4353142,2354827
ABPZ0EC100133,321,V1.0.772,24882,297314,128637
ABPZ0EC100076,401,V1.0.772,0,0,0
ABPZ0EC100218,321,V1.0.772,64354,634578,352995
